date,description,amount
2024-01-01,Salary Deposit,125000.00
2024-01-02,Cafe Coffee Day,-350.00
2024-01-02,Ola to Office,-180.00
2024-01-03,Big Bazaar Grocery,-2200.00
2024-01-03,Netflix Subscription,-649.00
2024-01-04,HPCL Petrol Station,-3500.00
2024-01-04,McDonald's Drive Thru,-450.00
2024-01-05,Reliance Digital Shopping,-3250.00
2024-01-05,Cult Fit Gym Membership,-2500.00
2024-01-06,Electricity Bill MSEB,-4200.00
2024-01-06,Freelance Project Payment,45000.00
2024-01-07,Amazon Prime Subscription,-1499.00
2024-01-07,Haldirams Lunch,-550.00
2024-01-08,Water Bill BMC,-890.00
2024-01-08,Apollo Pharmacy,-1200.00
2024-01-09,PVR Cinema,-750.00
2024-01-09,Spotify Premium,-119.00
2024-01-10,House Rent Payment,-25000.00
2024-01-11,Doctor Visit Fees,-800.00
2024-01-11,UPI Transfer from Friend,2500.00
2024-01-12,DMart Wholesale,-4500.00
2024-01-12,Dominos Pizza,-899.00
2024-01-13,Airtel Broadband Bill,-1599.00
2024-01-13,Swiggy Dinner Order,-650.00
2024-01-14,ATM Withdrawal Fee,-25.00
2024-01-14,Third Wave Coffee,-280.00
2024-01-15,Salary Deposit,125000.00
2024-01-15,Asian Paints Store,-5200.00
2024-01-16,More Supermarket,-1800.00
2024-01-16,Uber Ride,-220.00
2024-01-17,HDFC Car Insurance,-12500.00
2024-01-17,Sagar Ratna Lunch,-420.00
2024-01-18,Croma Electronics,-18999.00
2024-01-18,KFC Family Meal,-680.00
2024-01-19,Jio Mobile Bill,-599.00
2024-01-19,Mutual Fund SIP,15000.00
2024-01-20,Spencer's Retail,-1250.00
2024-01-20,Dunkin Donuts,-299.00
2024-01-21,Freelance Client Payment,65000.00
2024-01-21,Barbeque Nation Dinner,-1890.00
2024-01-22,Steam Game Purchase,-1999.00
2024-01-22,Subway Sandwich,-350.00
2024-01-23,Star Health Insurance,-8500.00
2024-01-23,Starbucks Coffee,-380.00
2024-01-24,Lifestyle Clothing,-4500.00
2024-01-24,Burger King Meal,-450.00
2024-01-25,Google Play Store,-299.00
2024-01-25,Indian Oil Petrol,-3200.00
2024-01-26,Nature's Basket,-1850.00
2024-01-26,YouTube Premium,-129.00
2024-01-27,Dental Clinic,-3500.00
2024-01-27,Pizza Hut,-1200.00
2024-01-28,Bank Transfer Fee,-118.00
2024-01-28,Fixed Deposit Interest,8500.00
2024-01-29,Decathlon Sports,-12500.00
2024-01-29,Chowking,-480.00
2024-01-30,House Rent Payment,-25000.00
2024-01-30,Amazon Refund,1890.00
2024-01-31,Salary Deposit,125000.00
2024-02-01,Foodhall Grocery,-3800.00
2024-02-01,Ola to Airport,-950.00
2024-02-02,Taj Hotel Mumbai,-15000.00
2024-02-02,Airport Parking,-800.00
2024-02-03,IndiGo Airlines,-8500.00
2024-02-03,Airport Food Court,-1200.00
2024-02-04,Hotel Room Service,-2500.00
2024-02-04,Meru Taxi,-680.00
2024-02-05,Business Dinner,-4200.00
2024-02-05,Company Expense Reimbursement,25000.00
2024-02-06,Blue Tokai Coffee,-450.00
2024-02-06,Zomato Delivery,-750.00
2024-02-07,Star Bazaar Grocery,-2200.00
2024-02-07,Rapido Bike Taxi,-120.00
2024-02-08,Adobe Creative Suite,-1699.00
2024-02-08,Wow Momo,-380.00
2024-02-09,Vi Postpaid Bill,-849.00
2024-02-09,Credit Card Cashback,1850.00
2024-02-10,Shoppers Stop,-8500.00
2024-02-10,Mainland China,-1250.00
2024-02-11,Car Washing Service,-300.00
2024-02-11,Freelance Payment,55000.00
2024-02-12,Bharat Petroleum,-4200.00
2024-02-12,The Chocolate Room,-1100.00
2024-02-13,Microsoft Office 365,-4200.00
2024-02-13,Tim Hortons Coffee,-320.00
2024-02-14,Valentine's Day Dinner,-6500.00
2024-02-14,FlowerAura Delivery,-2500.00
2024-02-15,Salary Deposit,125000.00
2024-02-15,Valentine Gifts Archies,-1800.00
2024-02-16,HyperCity Grocery,-3500.00
2024-02-16,Swiggy Lunch,-550.00
2024-02-17,Car Service Maruti,-18500.00
2024-02-17,Nirulas Ice Cream,-450.00
2024-02-18,Zerodha Dividend,5500.00
2024-02-18,Chipotle Mexican Grill,-980.00
2024-02-19,Tata Power Bill,-5200.00
2024-02-19,Chaayos Tea,-280.00
2024-02-20,ICICI Home Insurance,-15000.00
2024-02-20,Saravana Bhavan,-650.00
2024-02-21,Amazon Shopping,-6500.00
2024-02-21,Taco Bell,-550.00
2024-02-22,Gold's Gym Personal Training,-5000.00
2024-02-22,Smoothie Factory,-450.00
2024-02-23,Brihanmumbai Water Bill,-1200.00
2024-02-23,Paytm Cashback,2500.00
2024-02-24,Crossword Bookstore,-1850.00
2024-02-24,Subway Lunch,-320.00
2024-02-25,Disney+ Hotstar,-1499.00
2024-02-25,Shell Petrol Station,-4800.00
2024-02-26,Max Bupa Health Insurance,-12000.00
2024-02-26,KFC Colonel's Feast,-1200.00
2024-02-27,Upwork Freelance Bonus,35000.00
2024-02-27,Nykaa Beauty Shopping,-4500.00
2024-02-28,House Rent Payment,-25000.00
2024-02-28,Income Tax Refund,85000.00
2024-02-29,Blue Dart Coffee,-399.00